"manuscript","signature","library"
"https://imagoarchive.it/ontology/resources/manuscript/lipsia/leipzig_university_library/844/54r-71r","844","Leipzig University Library"
"https://imagoarchive.it/ontology/resources/manuscript/klosterneuburg/klosterneuburg,_bibliothek_des_augustiner_chorherrenstiftes/209/128v-132v","209","Klosterneuburg, Bibliothek des Augustiner Chorherrenstiftes"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/9530/2r-61r","9530","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/hannover/gottfried_wilhelm_leibniz_library/vi_623/75r-93v","VI 623","Gottfried Wilhelm Leibniz Library"
"https://imagoarchive.it/ontology/resources/manuscript/gotha/gotha,_herzogliche_bibliothek/192/1-54","192","Gotha, Herzogliche Bibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/dublino/bibliotheca_collegii_trinitatis_iuxta_dublinum/632_(e.5.20)/46r-88r","632 (E.5.20)","Bibliotheca Collegii Trinitatis iuxta Dublinum"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/pal._lat._217/54r-86v","Pal. lat. 217","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/valladolid/biblioteca_de_santa_cruz/64/all","64","Biblioteca de Santa Cruz"
"https://imagoarchive.it/ontology/resources/manuscript/uppsala/uppsala_university_library/c_14/14v-16r","C 14","Uppsala University Library"
"https://imagoarchive.it/ontology/resources/manuscript/venezia/biblioteca_nazionale_marciana/xiv.223_(4340)/45r-46v","XIV.223 (4340)","Biblioteca nazionale Marciana"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/cotton_domitianus_a._xiii/114r-129v","Cotton Domitianus A. XIII","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/barb._lat._2687/1r-12v","Barb. lat. 2687","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/palermo/comune_di_palermo._biblioteca_comunale,_palermo_(pa)/3._qq._c_54-60/260v-510v","3. Qq. C 54-60","Comune di Palermo. Biblioteca comunale, Palermo (PA)"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/royal_14.c.x/1r-3v","Royal 14.C.X","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/royal_13.b.viii/1r-34v","Royal 13.B.VIII","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/pistoia/archivio_di_stato_di_pistoia/documenti_vari_1/1r-34v","Documenti vari 1","Archivio di Stato di Pistoia"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/harley_359/68r-125r","Harley 359","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_statale_berlinese_-_patrimonio_culturale_prussiano/diez._c_4°_75/1-91","Diez. C 4° 75","Biblioteca statale berlinese - Patrimonio culturale prussiano"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/nouv._acq._lat_133/3r-106r","Nouv. Acq. lat 133","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/add._15835/163r-200r","Add. 15835","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_statale_berlinese_-_patrimonio_culturale_prussiano/lat._8°_32/32r-46v","lat. 8° 32","Biblioteca statale berlinese - Patrimonio culturale prussiano"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_4724_(bened._224)/122r-140v","Clm 4724 (Bened. 224)","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/siena/biblioteca_comunale_degli_intronati/g._vii_45/45ra-114vb","G. VII 45","Biblioteca comunale degli Intronati"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/barb._lat._2056/all","Barb. lat. 2056","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/salisburgo/__salzburg,_benediktiner-erzabtei_sankt_peter/b.x.30/46r-86v","b.X.30","  Salzburg, Benediktiner-Erzabtei Sankt Peter"
"https://imagoarchive.it/ontology/resources/manuscript/madrid/biblioteca_nazionale_di_spagna/1617/1r-38v","1617","Biblioteca nazionale di Spagna"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/lat._512/1r-13v","lat. 512","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/heiligenkreuz/heiligenkreuz,_bibliothek_des_zisterzienserstifts/14/142v-150r","14","Heiligenkreuz, Bibliothek des Zisterzienserstifts"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/ott._lat._1875/6r-73v","Ott. Lat. 1875","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/cincinnati/university_of_cincinnati_libraries/12/ff._63","12","University of Cincinnati Libraries"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_nazionale_centrale_di_firenze/tordi_21/1r-164v","Tordi 21","Biblioteca Nazionale Centrale di Firenze"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/cotton_faustina_b_i/196r–203v","Cotton Faustina B I","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/londra/westminster_abbey_museum/23/all","23","Westminster Abbey Museum"
"https://imagoarchive.it/ontology/resources/manuscript/schlägl/schlägl,_stiftsbibliothek/117_cpl_76/180r-229v","117 cpl 76","Schlägl, Stiftsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/wolfenbüttel/herzog_august_bibliothek/643_(693)/196r-211r","643 (693)","Herzog August Bibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/175/all","175","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/magdalene_college/lat._43/24r-43r","lat. 43","Magdalene College"
