"manuscript","signature","library"
"https://imagoarchive.it/ontology/resources/manuscript/praga/library_of_the_metropolitan_chapter_of_prague/g_28/1r-43r_","G 28","Library of the Metropolitan Chapter of Prague"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/cambridge_university_library/dd.1.17/376r-421r","Dd.1.17","Cambridge University Library"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/harley_5115/all","Harley 5115","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/gottinga/göttingen_state_and_university_library/hist._61/367r-486r","Hist. 61","Göttingen State and University Library"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/add._19952/2r-84v","Add. 19952","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/3497/61r-115v","3497","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/jena/thuringian_state_and_university_library/bos._4°_10/1r-139r","Bos. 4° 10","Thuringian State and University Library"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm._5339/214r-280r","Clm. 5339","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/vat._lat._7317/301r-373v","Vat. lat. 7317","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_850/7r-71r","Clm 850","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/18624/150r-163v","18624","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_riccardiana/ms._983/1r-81v","ms. 983","Biblioteca Riccardiana"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/add._19513/85r-123v","Add. 19513","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/praga/library_of_the_metropolitan_chapter_of_prague/g._xxi_(1012)/all","G. XXI (1012)","Library of the Metropolitan Chapter of Prague"
"https://imagoarchive.it/ontology/resources/manuscript/glasgow/glasgow_university_library/hunter_458_(v.6.8)/1r-105r","Hunter 458 (V.6.8)","Glasgow University Library"
"https://imagoarchive.it/ontology/resources/manuscript/glasgow/glasgow_university_library/ms_84_(t.4.1)/191r-153r","Ms 84 (T.4.1)","Glasgow University Library"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_nazionale_centrale_di_firenze/conv._sopp._c.vii._1170/1r-69r","Conv. Sopp. C.VII. 1170","Biblioteca Nazionale Centrale di Firenze"
"https://imagoarchive.it/ontology/resources/manuscript/gießen/university_library_giessen/218/75r-94v","218","University Library Giessen"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/royal_14.c.xiii/236r-269r","Royal 14.C.XIII","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_di_stato_di_berlino/lat._4°_70_(rose_968)/51v-118v","lat. 4° 70 (Rose 968)","Biblioteca di Stato di Berlino"
"https://imagoarchive.it/ontology/resources/manuscript/leida/biblioteca_universitaria_di_leiden/voss._lat._f_75/1r-50v","Voss. lat. F 75","Biblioteca universitaria di Leiden"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._17800/1r-44v","lat. 17800","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/copenaghen/biblioteca_reale/acc._2011/5/211r-290r","Acc. 2011/5","Biblioteca reale"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/ott._lat._1641/1r-114v","Ott. Lat. 1641","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/kórnik/kórnik_library/1r-43v/all","1r-43v","Kórnik Library"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_di_stato_di_berlino/lat._qu._618/1r-105r","lat. qu. 618","Biblioteca di Stato di Berlino"
"https://imagoarchive.it/ontology/resources/manuscript/el_escorial/library_of_the_monastery_of_el_escorial/q.ii.13/1r-95v","q.II.13","Library of the Monastery of El Escorial"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/pal._lat._1359/1r-96v","Pal. lat. 1359","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/breslavia/wrocław_university_library/iv_f._103/1r-67r","IV F. 103","Wrocław University Library"
"https://imagoarchive.it/ontology/resources/manuscript/gand/biblioteca_dell'università_di_gand/13/83r-113v","13","Biblioteca dell'Università di Gand"
"https://imagoarchive.it/ontology/resources/manuscript/stoccarda/württembergische_landesbibliothek/cod._hist._4°_10/4r-124r","Cod. hist. 4° 10","Württembergische Landesbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/princeton/princeton_university_library/garrett_157/1r-53v","Garrett 157","Princeton University Library"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/arundel_13/1r-38r","Arundel 13","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/würzburg/university_library_würzburg/m._ch._f._60/262r-304r","M. ch. f. 60","University Library Würzburg"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/12823_(suppl._16)/1r-101v","12823 (Suppl. 16)","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/vat._lat._3153/1r-66v","Vat. Lat. 3153","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/reg._lat._1846/1r-103r","Reg. Lat. 1846","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/6244a/2r-122r","6244A","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/lucerna/lucerne_central_and_university_library/msc_5_4°/1r-70v","Msc 5 4°","Lucerne Central and University Library"
"https://imagoarchive.it/ontology/resources/manuscript/cracovia/biblioteca_jagellonica/431/61v-116r","431","Biblioteca Jagellonica"
"https://imagoarchive.it/ontology/resources/manuscript/roma/biblioteca_dell'accademia_nazionale_dei_lincei_e_corsiniana/35_e29/1r-59v","35 E29","Biblioteca dell'Accademia Nazionale dei Lincei e Corsiniana"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/nouv._acq._lat._1768/1r-21v","nouv. acq. lat. 1768","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/gonville_and_caius_college/ms_162/183/26r-86v","Ms 162/183","Gonville and Caius College"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/cambridge_university_library/dd.8.7/1r-7r","Dd.8.7","Cambridge University Library"
"https://imagoarchive.it/ontology/resources/manuscript/venezia/biblioteca_nazionale_marciana/lat._x_128_(3307)/1r-183r","Lat. X 128 (3307)","Biblioteca nazionale Marciana"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/vat._lat._5260/1r-96r","Vat. lat. 5260","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._1616/_307r-380r","lat. 1616","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/modena/biblioteca_estense_universitaria_di_modena/lat._131_(alfa.s.6.14)/1r-40v","lat. 131 (alfa.S.6.14)","Biblioteca estense universitaria di Modena"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/merton_college_library/312/1r-56v","312","Merton College Library"
"https://imagoarchive.it/ontology/resources/manuscript/roma/biblioteca_vallicelliana/tomo_vii_/141r-143v","Tomo VII ","Biblioteca Vallicelliana"
"https://imagoarchive.it/ontology/resources/manuscript/fiecht/biblioteca_dell'abbazia_benedettina_di_s._georgenberg-fiecht/183/1r-69r","183","Biblioteca dell'Abbazia benedettina di S. Georgenberg-Fiecht"
"https://imagoarchive.it/ontology/resources/manuscript/bologna/biblioteca_universitaria_di_bologna/2543/31r-137v","2543","Biblioteca universitaria di Bologna"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/barb._lat._2559/207r-303r","Barb. lat. 2559","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/ashmole_769/1r-89v","Ashmole 769","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/bruxelles/__bruxelles,_kbr_(olim_bibliothèque_royale_«albert_ier»)/3240_(18412)/_2r-18r","3240 (18412)","  Bruxelles, KBR (olim Bibliothèque Royale «Albert Ier»)"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._4806/25r-40r","lat. 4806","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/reg._lat._558/1r-63r","Reg. lat. 558","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/vat._lat._11564/1r-184r","Vat. lat. 11564","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/namur/bibliothèque_du_séminaire_notre-dame_de_namur/37/118r-126r","37","Bibliothèque du Séminaire Notre-Dame de Namur"
"https://imagoarchive.it/ontology/resources/manuscript/utrecht/università_di_utrecht/737_(5.b.2)__sec._xv_ex./2r-24r","737 (5.B.2)  sec. XV ex.","Università di Utrecht"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_nazionale_centrale_di_firenze/conv._soppr._a.3.2610/all","Conv. soppr. A.3.2610","Biblioteca Nazionale Centrale di Firenze"
"https://imagoarchive.it/ontology/resources/manuscript/new_haven/yale_university_library/beinecke_rare_book_and_manuscript_library,_t.e._marston_collection_17/1r-7r","Beinecke Rare Book and Manuscript Library, T.E. Marston Collection 17","Yale University Library"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_nazionale_centrale_di_firenze/conv._soppr._i.1.28/24r-32v","Conv. soppr. I.1.28","Biblioteca Nazionale Centrale di Firenze"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_medicea_laurenziana/plut._26_sin_9/104r-111v","Plut. 26 sin 9","Biblioteca Medicea Laurenziana"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/vat._lat._3134/47ra-50va","Vat. lat. 3134","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/melk/melk,_stiftsbibliothek/751,_2_(730)/328*r-339v","751, 2 (730)","Melk, Stiftsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/cremona/biblioteca_statale_di_cremona/fondo_civico_bb.1.2.5_(55)/ii,_20,_ii'","Fondo Civico BB.1.2.5 (55)","Biblioteca statale di Cremona"
"https://imagoarchive.it/ontology/resources/manuscript/venezia/biblioteca_nazionale_marciana/lat._xiv._231_(4342)/203v-211r","lat. XIV. 231 (4342)","Biblioteca nazionale Marciana"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._18108/107r-109v","lat. 18108","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/napoli/biblioteca_nazionale_vittorio_emanuele_iii/_iv.d.22_bis/47r-56v"," IV.D.22 bis","biblioteca nazionale Vittorio Emanuele III"
"https://imagoarchive.it/ontology/resources/manuscript/uppsala/uppsala_university_library/c_78/2v-58r","C 78","Uppsala University Library"
"https://imagoarchive.it/ontology/resources/manuscript/new_york/new_york,_columbia_university,_butler_library/plimpton_264/all","Plimpton 264","New York, Columbia University, Butler Library"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_marucelliana/b_v_19/all","B V 19","biblioteca Marucelliana"
"https://imagoarchive.it/ontology/resources/manuscript/rimini/biblioteca_civica_gambalunga/sc-ms_71/269r-320r","SC-MS 71","Biblioteca Civica Gambalunga"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/corpus_christi_college/ms._318_(d_11)/363-404","Ms. 318 (D 11)","Corpus Christi College"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/795/184r-187v","795","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/filadelfia/university_of_pennsylvania_libraries/rare_book_and_manuscript_library,_codex_60_(olim_lea_4)/1r-42v","Rare Book and Manuscript Library, Codex 60 (olim Lea 4)","University of Pennsylvania Libraries"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/tanner_15_(s.c._9835)/76-85","Tanner 15 (S.C. 9835)","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/urb._lat._452/1r-127r","Urb. lat. 452","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/harley_3724/5r-44r","Harley 3724","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/ferrara/biblioteca_comunale_ariostea/i_4,_lat._3/1r-109v","I 4, Lat. 3","Biblioteca comunale Ariostea"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._2444/51r-67r","lat. 2444","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/biblioteca_dell'università_ludwig_maximilian_di_monaco/4°_800/92r-118v_(excerpta)","4° 800","Biblioteca dell'università Ludwig Maximilian di Monaco"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat-_14627/132ra-212vb","lat- 14627","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/vat._lat._7584/120v-126v","Vat. lat. 7584","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/zwickau/__zwickau,_ratsschulbibliothek_(stadtarchiv)/i,_xii,_5/112v-144v","I, XII, 5","  Zwickau, Ratsschulbibliothek (Stadtarchiv)"
"https://imagoarchive.it/ontology/resources/manuscript/stoccarda/hauptstaatsarchiv_stuttgart/236/all","236","Hauptstaatsarchiv Stuttgart"
"https://imagoarchive.it/ontology/resources/manuscript/piacenza/biblioteca_passerini-landi/landi_154/1r-193v","Landi 154","biblioteca Passerini-Landi"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/borg._lat._346/3r-143v","Borg. Lat. 346","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/dublino/university_college_dublin/franciscan_manuscripts_(deposito_permanente,_olim_killiney,_dún_mhuire)_f_1_(olim_a_24)/55r-93v","Franciscan Manuscripts (deposito permanente, olim Killiney, Dún Mhuire) F 1 (olim A 24)","University College Dublin"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/795/187v-191v","795","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/charleville-mézières/bibliothèque_municipale_de_charleville-mézières/275/ff._226vb-228vb","275","Bibliothèque Municipale de Charleville-Mézières"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._5515/65r-76r","lat. 5515","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/arundel_14/1r-27v","Arundel 14","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/gerona/arxiu_capitular_de_gerona/ms._69_/76v","Ms. 69 ","Arxiu capitular de Gerona"
"https://imagoarchive.it/ontology/resources/manuscript/el_escorial/__el_escorial,_real_biblioteca_de_san_lorenzo_/d._iii._11/18v-19v","d. III. 11","  El Escorial, Real Biblioteca de San Lorenzo "
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._6041_/107r-122r","lat. 6041 ","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/montecassino/abbazia_di_montecassino/300/1-194","300","abbazia di Montecassino"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._4794/1r-30v","lat. 4794","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/vat._lat._3759/37r-62v","Vat. lat. 3759","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_14478/157v-165v","clm 14478","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/canon._misc._172_(s.c._19648)/_234r-238r","Canon. misc. 172 (S.C. 19648)","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_statale_berlinese_-_patrimonio_culturale_prussiano/lat._8°_194/2r-26v","lat. 8° 194","Biblioteca statale berlinese - Patrimonio culturale prussiano"
"https://imagoarchive.it/ontology/resources/manuscript/graz/university_library_of_the_tu_graz/ms_290_(=_39/23_f°)/6v-10v","Ms 290 (= 39/23 f°)","University library of the TU Graz"
"https://imagoarchive.it/ontology/resources/manuscript/troyes/médiathèque_du_grand_troyes_(olim_bibliothèque_municipale)/fonds_ancien_1876/58r-77v","Fonds ancien 1876","Médiathèque du Grand Troyes (olim Bibliothèque Municipale)"
"https://imagoarchive.it/ontology/resources/manuscript/montpellier/bibliothèque_interuniversitaire_de_montpellier/section_de_médecine_h_39/1r-5r","Section de Médecine H 39","Bibliothèque interuniversitaire de Montpellier"
"https://imagoarchive.it/ontology/resources/manuscript/venezia/biblioteca_nazionale_marciana/lat._xiv._254_/83v-85v","Lat. XIV. 254 ","Biblioteca nazionale Marciana"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/digby_11_(s.c._1612)/44r-59v","Digby 11 (S.C. 1612)","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/maynooth/maynooth,_st._patrick_college_of_kildare._russell_library/rb_201_(olim_3.g.1)/83-100","RB 201 (olim 3.G.1)","Maynooth, St. Patrick College of Kildare. Russell Library"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/bibliothèque_de_l'arsenal_943_(55_h.l.)/1r-18r","Bibliothèque de l'Arsenal 943 (55 H.L.)","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/glasgow/glasgow_university_library/hunterian_ms_84_(t.4.1)/269r-340v","Hunterian MS 84 (T.4.1)","Glasgow University Library"
"https://imagoarchive.it/ontology/resources/manuscript/breslavia/wroclaw,_biblioteka_uniwersytecka/262/64r-69v","262","Wroclaw, Biblioteka Uniwersytecka"
"https://imagoarchive.it/ontology/resources/manuscript/metz/metz,_bibliothèque_municipale/651/110r-117v","651","Metz, Bibliothèque municipale"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/ms._4459/112r-131r","ms. 4459","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/brema/state_and_university,_library_bremen/msb_0002/110r-136r","msb 0002","State and University, Library Bremen"
"https://imagoarchive.it/ontology/resources/manuscript/torino/_torino,_biblioteca_dell'accademia_delle_scienze/0193_(mm.v.11)/3v-12r","0193 (MM.V.11)"," Torino, Biblioteca dell'Accademia delle Scienze"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_statale_berlinese_-_patrimonio_culturale_prussiano/theol._lat._4°_339/1r-21v,_21v-22v","theol. lat. 4° 339","Biblioteca statale berlinese - Patrimonio culturale prussiano"
"https://imagoarchive.it/ontology/resources/manuscript/londra/biblioteca_bodleiana/laud_misc._722_(=_1184)./107-111","Laud Misc. 722 (= 1184).","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/aberystwyth/aberystwyth,_national_library_of_wales/3024c/1r-66r","3024C","Aberystwyth, National Library of Wales"
"https://imagoarchive.it/ontology/resources/manuscript/montecassino/abbazia_di_montecassino/152/159-204","152","abbazia di Montecassino"
"https://imagoarchive.it/ontology/resources/manuscript/cesena/biblioteca_malatestiana/s._i._12/1r-94r","S. I. 12","Biblioteca Malatestiana"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._9661/37r-50v","lat. 9661","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/basilea/public_library_of_the_university_of_basel,_collections/e_iii_24/1-25","E III 24","public library of the University of Basel, Collections"
"https://imagoarchive.it/ontology/resources/manuscript/arezzo/biblioteca_città_di_arezzo/311/239r-260r","311","Biblioteca Città di Arezzo"
"https://imagoarchive.it/ontology/resources/manuscript/douai/douai,_bibliothèque_marceline_desbordes-valmore_(olim_bibliothèque_municipale)/882/35v-48r","882","Douai, Bibliothèque Marceline Desbordes-Valmore (olim Bibliothèque Municipale)"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/_cotton_tiberius_e._i/129r-133v"," Cotton Tiberius E. I","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/lucca/biblioteca_capitolare_feliniana/582/all","582","Biblioteca Capitolare Feliniana"
"https://imagoarchive.it/ontology/resources/manuscript/liegi/università_di_liegi/wittert_99/1r-77r","Wittert 99","Università di Liegi"
"https://imagoarchive.it/ontology/resources/manuscript/basilea/public_library_of_the_university_of_basel,_collections/f_v_6/85r-108v","F V 6","public library of the University of Basel, Collections"
"https://imagoarchive.it/ontology/resources/manuscript/stoccarda/__stuttgart,_württembergische_landesbibliothek/theol._et_phil._8°_57/90r-135r","Theol. et phil. 8° 57","  Stuttgart, Württembergische Landesbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/zwettl/zwettl,_bibliothek_des_zisterzienserstifts/76/221v-256r","76","Zwettl, Bibliothek des Zisterzienserstifts"
"https://imagoarchive.it/ontology/resources/manuscript/nancy/bibliothèque_municipale_de_nancy/1082_(250)/89r-178r","1082 (250)","Bibliothèque municipale de Nancy"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/cambridge_university_library/ff.1.27/499-567","Ff.1.27","Cambridge University Library"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/laud_misc._315_(s.c._1055)/165v-175r","Laud misc. 315 (S.C. 1055)","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/bruxelles/__bruxelles,_kbr_(olim_bibliothèque_royale_«albert_ier»)/21520/1r-93v","21520","  Bruxelles, KBR (olim Bibliothèque Royale «Albert Ier»)"
"https://imagoarchive.it/ontology/resources/manuscript/breslavia/wroclaw,_biblioteka_uniwersytecka/i.q.70/181r-203r","I.Q.70","Wroclaw, Biblioteka Uniwersytecka"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_4013/49v-66r","Clm 4013","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/napoli/biblioteca_nazionale_vittorio_emanuele_iii/viii_d._71/1r-128r","VIII D. 71","biblioteca nazionale Vittorio Emanuele III"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/cotton_otho_d._i/227v-232v","Cotton Otho D. I","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/cambridge_university_library/mm.5.30/1-31","Mm.5.30","Cambridge University Library"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/ott._lat._2072/45r-58v","Ott. lat. 2072","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/lilienfeld/lilienfeld,_stiftsbibliothek/145/174r-191v","145","Lilienfeld, Stiftsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/cambridge_university_library/mm.2.18/144v-146v","Mm.2.18","Cambridge University Library"
"https://imagoarchive.it/ontology/resources/manuscript/heiligenkreuz/_heiligenkreuz,_stiftsbibliothek/n°_88/156r-156v","n° 88"," Heiligenkreuz, Stiftsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._2471/155-156","lat. 2471","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/lipsia/leipzig_university_library/525/58r-74r","525","Leipzig University Library"
"https://imagoarchive.it/ontology/resources/manuscript/francoforte_sul_meno/frankfurt_university_library/barthol._71/227rb-230rb","Barthol. 71","Frankfurt University Library"
"https://imagoarchive.it/ontology/resources/manuscript/melk/melk,_stiftsbibliothek/546_(134;_c._12)/10r-16r,_78r-80v","546 (134; C. 12)","Melk, Stiftsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/bruxelles/__bruxelles,_kbr_(olim_bibliothèque_royale_«albert_ier»)/733-41_(1709)/143r-175r","733-41 (1709)","  Bruxelles, KBR (olim Bibliothèque Royale «Albert Ier»)"
"https://imagoarchive.it/ontology/resources/manuscript/zwettl/zwettl,_bibliothek_des_zisterzienserstifts/262/86r-103v","262","Zwettl, Bibliothek des Zisterzienserstifts"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/cannonic._misc._117/1r-140v","Cannonic. misc. 117","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/stoccarda/württembergische_landesbibliothek/cod._hist._4°_10/124v-139r","Cod. hist. 4° 10","Württembergische Landesbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/breslavia/wroclaw,_biblioteka_zakladu_narodowego_im._ossolinskich_(ossolineum)/polska_akademia_nauk_2044/ii/1r-21v","Polska Akademia Nauk 2044/II","Wroclaw, Biblioteka Zakladu Narodowego im. Ossolinskich (Ossolineum)"
"https://imagoarchive.it/ontology/resources/manuscript/bruxelles/__bruxelles,_kbr_(olim_bibliothèque_royale_«albert_ier»)/_2921-22/53r-68v"," 2921-22","  Bruxelles, KBR (olim Bibliothèque Royale «Albert Ier»)"
"https://imagoarchive.it/ontology/resources/manuscript/saint-bonaventure/saint_bonaventure_university/holy_name_79/14r-31v","Holy Name 79","Saint Bonaventure University"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._5656/4r-30v","lat. 5656","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._4126/26v-27r","lat. 4126","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/melk/melk,_stiftsbibliothek/952/95r-125r","952","Melk, Stiftsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/claudius_e_viii/13v-13v","Claudius E VIII","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/cambridge_university_library/ff._1._27/_253r-354r","Ff. 1. 27","Cambridge University Library"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/cotton_cleopatra_d.v/5r-55r","Cotton Cleopatra D.V","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/emmanuel_college/i.1.3/87r-120v","I.1.3","Emmanuel College"
"https://imagoarchive.it/ontology/resources/manuscript/leida/biblioteca_universitaria_di_leiden/b.p.l._13/_61r-113v","B.P.L. 13","Biblioteca universitaria di Leiden"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/corpus_christi_college/400/1r-45v","400","Corpus Christi College"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/add._44922/77r-105v","Add. 44922","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/aberystwyth/aberystwyth,_national_library_of_wales/3074d/1-59","3074D","Aberystwyth, National Library of Wales"
